Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_24,CPU_FREQUENCY_25,CPU_FREQUENCY_26,CPU_FREQUENCY_27,CPU_FREQUENCY_28,CPU_FREQUENCY_29,CPU_FREQUENCY_3,CPU_FREQUENCY_30,CPU_FREQUENCY_31,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_24,CPU_USAGE_25,CPU_USAGE_26,CPU_USAGE_27,CPU_USAGE_28,CPU_USAGE_29,CPU_USAGE_3,CPU_USAGE_30,CPU_USAGE_31,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),GPU0_ENERGY (mJ),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1733383322762,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,12.121212005615234,2.857142925262451,26.47058868408203,0,0,2.857142925262451,2.941176414489746,0,8.571429252624512,0,2.941176414489746,0,5.555555820465088,0,0,2.857142925262451,0,0,0,0,2.857142925262451,0,0,0,0,0,2.857142925262451,2.857142925262451,0,0,23.52941131591797,0,0,3416844337,12282,6288,38871,44,0,246839.11975097656,228420.47814941406,0,67221319680,8589930496,5300215808,0
200,1733383322762,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,12.121212005615234,2.857142925262451,26.47058868408203,0,0,2.857142925262451,2.941176414489746,0,8.571429252624512,0,2.941176414489746,0,5.555555820465088,0,0,2.857142925262451,0,0,0,0,2.857142925262451,0,0,0,0,0,2.857142925262451,2.857142925262451,0,0,23.52941131591797,0,0,3416844337,12282,6288,38871,44,0,246839.32373046875,228420.57849121094,0,67221319680,8589930496,5296476160,0
200,1733383322962,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,4.1666669845581055,0,39.130435943603516,0,8,0,0,0,0,0,4.1666669845581055,0,0,4.1666669845581055,12.5,0,0,4.1666669845581055,0,0,0,0,4.1666669845581055,0,0,8,0,9.090909004211426,4.1666669845581055,0,8.333333969116211,0,0,3416848348,12282,6306,31636,47,13,246844.2944946289,228424.091796875,0,67221319680,8589930496,5307277312,0
200,1733383323162,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,3416858787,12282,6306,31606,48,100,246852.36334228516,228430.72869873047,0,67221319680,8589930496,5305655296,0
200,1733383323362,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3416869043,12282,6306,37420,47,99,246860.37591552734,228437.30828857422,0,67221319680,8589930496,5308645376,0
200,1733383323563,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,3416882194,12282,6306,46119,48,96,246868.53607177734,228444.02911376953,0,67221319680,8589930496,5311590400,0
200,1733383323763,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,9.090909004211426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3416895434,12282,6306,54888,48,96,246876.6287841797,228450.68048095703,0,67221319680,8589930496,5306564608,0
200,1733383323963,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3416908669,12282,6306,63599,48,96,246884.81439208984,228457.42608642578,0,67221319680,8589930496,5303742464,0
200,1733383324163,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,4.761904716491699,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,5,0,0,3416921966,12282,6306,68747,48,96,246893.10974121094,228464.25170898438,0,67221319680,8589930496,5298929664,0
200,1733383324363,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,3416935192,12282,6306,71607,48,96,246901.23809814453,228470.93463134766,0,67221319680,8589930496,5310017536,0
200,1733383324563,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3416948448,12282,6306,73284,48,97,246909.4930419922,228477.7417602539,0,67221319680,8589930496,5308604416,0
200,1733383324763,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3416961608,12282,6306,73234,48,96,246917.7889404297,228484.5927734375,0,67221319680,8589930496,5311619072,0
200,1733383324963,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904716491699,0,0,0,0,5.263157844543457,0,0,3416974828,12282,6306,73328,48,96,246926.09802246094,228491.45233154297,0,67221319680,8589930496,5310730240,0
200,1733383325163,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3416987986,12282,6306,73313,48,96,246934.30841064453,228498.21704101563,0,67221319680,8589930496,5308096512,0
200,1733383325363,5500,800,4500,800,5500,800,5500,800,800,800,4217,4301,5500,800,4289,800,4300,4301,800,800,4300,4300,4299,800,800,800,800,800,5500,800,5500,800,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.523809432983398,0,0,3417001179,12282,6306,73287,48,97,246942.48602294922,228504.94885253906,0,67221319680,8589930496,5305290752,0
